Contig,SCQ,WFS,PL,XHBW,SSG,XXZ,DK,LMW,ZGE,BC,FJC,TGDQ,LK,LJ,KL,HHKSD,HHK
ViromevOTU248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU258,0,0,0,0,56.52948388,126.4408834,0,102.0238869,549.9054431,0,0,0,0,1533.750224,2403.079697,2448.685988,0
ViromevOTU259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU288,0,0,0,0,299.1290115,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ViromevOTU293,162.5237806,0,0,91.93954619,224.3513202,523.3097098,222.0677247,363.5509528,385.2408001,0,0,0,139.5660637,202.1199866,87.07292042,80.52150968,158.7497648
ViromevOTU294,105.4488775,87.0336873,1310.469577,650.1746416,750.9105709,0,506.5421255,447.991324,54.7542921,0,0,66.81515786,176.6307818,0,0,0,0
ViromevOTU295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
