Contig,SCQ,WFS,PL,XHBW,SSG,XXZ,DK,LMW,ZGE,BC,FJC,TGDQ,LK,LJ,KL,HHKSD,HHK
SedimentvOTU129,0,0,0,0,0,0,0,0,0,0,0,0,79.57428136,44.64146031,84.83889162,103.8012671,221.4672724
SedimentvOTU130,0,0,0,0,0,0,0,0,0,0,0,0,38.65067331,0,36.1945305,46.57871943,166.1369474
SedimentvOTU131,0,0,0,0,0,0,0,0,0,0,0,0,49.58841,0,60.1836461,61.35031396,150.2793698
SedimentvOTU132,0,0,0,0,0,0,0,0,0,0,0,0,71.15114363,39.57175349,53.90765336,68.69237337,148.8244001
SedimentvOTU133,0,0,0,0,0,0,0,0,0,0,0,0,66.52178099,0,72.48313889,79.98638476,248.4139713
SedimentvOTU134,0,0,0,0,0,0,0,0,0,0,0,0,127.7824867,66.1204636,93.72738889,170.6746206,176.0474813
SedimentvOTU135,0,0,0,0,0,0,0,0,0,0,0,0,97.24561386,52.15437928,104.9831513,116.6697421,211.9546437
SedimentvOTU136,0,0,0,0,0,0,0,0,0,0,0,0,0,61.49700973,113.6275858,0,231.7783983
SedimentvOTU137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.05014793,32.95220148,178.4058134
SedimentvOTU138,0,0,0,0,0,0,0,0,0,0,0,0,68.94706844,51.48561857,84.13289825,106.4095301,158.156472
SedimentvOTU139,0,0,0,0,0,0,0,0,0,0,0,0,78.79602505,65.56330571,124.1146653,191.5200038,121.9585202
SedimentvOTU140,0,0,0,0,0,0,0,0,0,0,0,0,67.61293024,73.31280065,97.44210115,110.728964,189.3805832
SedimentvOTU141,0,0,0,0,0,0,0,0,0,0,0,0,85.27185628,45.3003604,73.770932,88.93884063,104.326758
SedimentvOTU142,0,0,0,0,0,0,0,0,0,0,0,0,44.9222596,0,61.92819637,46.34058741,124.9518516
SedimentvOTU143,0,0,0,0,0,0,0,0,0,0,0,0,84.31749376,49.95326358,58.09476985,68.37861955,125.0784691
SedimentvOTU144,0,0,0,0,0,0,0,0,0,0,0,0,99.09873409,66.85189779,98.93412252,120.5589152,208.2443885
SedimentvOTU145,0,0,0,0,0,0,0,0,0,0,0,0,109.5020928,76.56360126,90.89720657,130.3826639,179.872522
SedimentvOTU146,0,0,0,0,0,0,0,0,0,0,0,0,68.49638354,41.4307817,70.71494425,103.4661276,185.8620161
SedimentvOTU147,0,0,0,0,0,0,0,0,0,0,0,0,123.9537513,116.9862968,169.5723592,268.1182196,159.8362882
SedimentvOTU148,0,0,0,0,0,0,0,0,0,0,0,0,171.6662535,95.79167747,134.8420423,178.5158898,178.1833726
SedimentvOTU149,0,0,0,0,0,0,0,0,0,0,0,0,59.49222218,49.60099322,56.943179,70.23346051,117.0623717
SedimentvOTU150,0,0,0,0,0,0,0,0,0,0,0,0,32.62847164,0,25.51660354,50.30290706,248.2161864
SedimentvOTU151,0,0,0,0,0,0,0,0,0,0,0,0,56.90520244,0,66.19827453,58.02139647,131.8254154
SedimentvOTU152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.15958082
SedimentvOTU153,0,0,0,0,0,0,0,0,0,0,0,0,47.29784278,0,46.97144271,55.71707086,102.5992399
SedimentvOTU154,0,0,0,0,0,0,0,0,0,0,0,0,60.54554858,45.98819236,88.48012023,109.3665213,187.3863035
SedimentvOTU155,0,0,0,0,0,0,0,0,0,0,0,0,66.66320332,40.1223008,50.20696988,115.969895,127.7921383
SedimentvOTU156,0,0,0,0,0,0,74.00116704,42.78494147,0,0,0,0,0,0,42.06221877,59.80384572,156.7221447
SedimentvOTU157,0,0,0,0,0,0,0,0,0,0,0,0,37.41478898,0,46.97419597,42.66373795,167.0224741
SedimentvOTU158,0,0,0,0,0,0,0,0,0,0,0,0,40.38309223,0,0,60.30250607,123.8509624
SedimentvOTU159,0,0,0,0,0,0,33.93901281,72.36183682,61.56293306,0,0,0,408.027311,293.0548112,258.6937033,278.6023155,140.0561724
SedimentvOTU160,0,0,0,0,0,0,0,0,0,0,0,0,52.58328249,48.08385363,56.93400508,72.91808214,119.3112505
SedimentvOTU161,215.754488,147.0299621,55.24257252,106.4216843,0,146.4676306,113.5520855,51.49034829,0,534.0277081,464.4353892,1063.860596,39.02549575,62.28064542,61.03913014,46.53324402,100.3062884
SedimentvOTU162,0,0,0,0,0,0,0,0,0,0,0,0,149.5549118,90.97127429,98.36700684,101.349654,130.8628104
SedimentvOTU163,0,0,0,0,0,0,103.216151,57.32036103,0,0,0,0,36.3198225,0,0,0,160.2989644
SedimentvOTU164,0,0,0,0,0,0,0,0,0,0,0,0,39.90400142,0,49.19481061,60.74782023,213.0070373
SedimentvOTU165,0,0,0,0,0,0,0,0,0,0,0,0,89.53059489,49.33447997,87.56344356,110.9203145,137.6982722
SedimentvOTU166,0,0,0,0,0,0,0,0,0,0,0,0,50.9604925,0,44.16634567,69.93691467,167.767588
SedimentvOTU167,0,0,0,0,0,0,0,0,0,0,0,0,110.3788795,67.05491447,90.11560804,120.8792896,151.852163
SedimentvOTU168,0,0,0,0,0,0,0,0,0,0,0,0,213.0745969,135.555322,181.3597382,271.8688461,283.0863109
SedimentvOTU169,0,0,0,0,0,0,0,0,0,0,0,0,81.50324164,62.39729733,73.4725661,96.38153394,150.5359942
SedimentvOTU170,0,0,0,0,0,0,0,0,0,0,0,0,93.14035651,41.11775868,101.3228762,117.4834029,243.7842951
SedimentvOTU171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814.6867257
SedimentvOTU172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.24761038,97.30781918
SedimentvOTU173,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2770234,42.12131161,45.56345754,125.0488943
SedimentvOTU174,0,0,0,0,0,0,0,0,0,0,0,0,67.12362092,40.74905946,58.90734212,72.1500949,131.9383615
SedimentvOTU175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.8404199
SedimentvOTU176,0,0,0,0,0,0,0,0,0,0,0,0,39.66079574,0,66.33943121,49.71625397,175.3768415
SedimentvOTU177,0,0,0,0,0,0,73.45921878,35.30150664,0,0,0,0,38.67219776,0,42.12427123,47.98362716,141.6961856
SedimentvOTU178,0,0,0,0,0,0,0,0,0,0,0,0,75.77803807,35.45912451,47.82867537,72.27808827,120.1315723
SedimentvOTU179,0,0,0,0,0,0,0,0,0,0,0,0,64.69602595,0,44.41527233,60.79269574,100.5043089
SedimentvOTU180,0,0,0,0,0,0,0,0,0,0,0,0,189.3046398,94.34853772,155.1762608,199.3803149,404.4690125
SedimentvOTU181,0,0,0,0,0,0,0,0,0,0,0,0,40.88785169,0,0,51.39631286,137.0528278
SedimentvOTU182,0,0,0,0,0,0,0,0,0,0,0,0,77.92946806,49.95338696,75.26358511,98.36733355,129.2221151
SedimentvOTU183,0,0,0,0,0,0,79.70791486,47.68354585,0,0,0,0,37.56285923,0,39.21201965,40.06643889,133.1035153
SedimentvOTU184,0,0,0,0,0,0,0,0,0,0,0,0,107.1841641,72.63339672,124.4547175,144.6074834,257.7097185
SedimentvOTU185,0,0,0,0,0,0,0,0,0,0,0,0,642.2746194,392.2644542,538.9740964,733.2814984,789.2445563
SedimentvOTU186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.87232252
SedimentvOTU187,0,0,0,0,0,0,0,0,0,0,0,0,50.31878189,0,48.99631877,70.98591876,190.0025207
